class,text
C000010,　　新生儿碘缺乏的危害主要是引起先天性甲状腺机能低下症（先甲低）检出率的升高。在碘营养正常的发达国家先甲低检出率一般为 1／3500—l／5000，这部分属于散发性的。而在碘缺乏的国家中，其检出率可高达5-10％，也就是说增加了200-500倍。先甲低检出率增高的原因是碘缺乏所致，如不能早期诊断和治疗将同样导致患儿终生智力残疾。妊娠期补碘可以使过高的先甲低检出率下降到正常。
C000010,"　　从今年1月开始审理的创维前董事局主席黄宏生兄弟案将于5月8日划上句号。不管结局如何，创维的品牌和基业因王殿甫的“临危受命”得以延续并获新生。但王殿甫在接受记者采访时坦言：是黄宏生给他留下了一个很好的事业平台……
　　□本报记者 徐王婴
　　王殿甫笑声朗朗。演讲之前先介绍自己在中国电子信息产业领域45年的经历。演讲结束，他在休息室里对记者爽朗地说：“我是东北人，是大嗓门”。
　　“大嗓门”，一定是歌唱好手。难怪他在接掌“创维”之后，做的第一件事就是率领员工齐声高唱《国际歌》。
　　王殿甫开心地向记者介绍：去年创维的彩电销售已突破1000万台，国内市场排名第一。更令他感到欣慰的是创维复牌后成交表现喜人，股价表现正常平稳。
　　毫无疑问，年过七旬的王殿甫，这位老国企将领的“廉颇风范”令人敬仰。去年底，第五届“中国改革人物”的颁奖词对他是如此评价的：在创维的特殊时期，受邀上任，凭借自己的产业经验及深厚的产业资历，携手经理人团队，把稳了创维这条大船，企业发展势头不减，公司治理结构得以改善。
　　显然，2004年冬的那场雪，转眼化成了眼前的柳暗花明。
　　但看见王殿甫阳光的微笑依然会让人联想到黄宏生。于是，在采访王殿甫之后，又通过对几位知情者的采访走近黄宏生……
　　王殿甫：我不是烧火者，我只是在加温
　　王殿甫上任，“三把火”解救创维危机的故事已经广为人知。
　　这三把火，第一把“火”叫做稳定人心。“这跟打仗一样，你首先要稳定军心，让创维对外有公信力，内部有凝聚力。”
　　所以，对内他讲了半年创维原有的优势。目的是稳定军心、鼓舞士气。
　　“我告诉创维的员工现在要唱三首歌：《国际歌》，要知道‘要实现我们的幸福，只有靠我们自己’；《国歌》，因为我们已经‘到了最危险的时候’，要‘用我们的血肉，铸成我们新的长城’；《敢问路在何方》，路在哪里呢？‘路在脚下’！我的目的，就是让创维的员工建立一种自力更生、战胜困难的精神状态。”“大嗓门”的王殿甫就这样用他浑厚的歌声为创维掌舵扬帆。
　　对外，他还接连召开三个记者招待会，专门用于讲述创维的优势。同时，增设了一个独立委员会，三个委员分别是来自律师界、财务界和会计界的社会名流。独立委员会的职责，一是必要时查看创维的账目以及运作，二是核查创维的财务控制，三是检讨创维的运作并提出建议。这一措施，是要使创维的公信力得到社会认可，“让大家相信创维的发展，不要创维自己来说，叫资深专家来说”。
　　这第一把“火”可谓切中命门。因为当时创维的危机，并非资金链的危机，也非产业及产品本身的危机，而是前创维集团董事局主席黄宏生，这个创业者的个人声誉危机。当务之急是让创维内外的人不因黄宏生个人因素淹没创维这个民族品牌和其自身的优势。这也是王殿甫临危受命的真实意图———拯救民族品牌于危难之际。
　　第二把“火”是控制财务流程。王殿甫介绍，他到创维后下发的第一个公告，是《加强财务监管、强化审批制度》，创维的采购财务签字，现在必须经过采购部长、财务、财务主管几关，最后由王殿甫签字确认。
　　第三把“火”是制订创维的发展战略。作为在电子行业浸淫了45年的行家，王殿甫认为，创维最大的困难，还是如何面对激烈的竞争环境，进一步提升国际化水平。为此，他提出了以科技为先导，以市场为导向的“蓝海战略”，制定了到2010年实现销售额500亿元的“一业为主、多种经营”的经营目标。
　　远景目标是否能够如期实现人们将拭目以待，但王殿甫接掌创维的自我定位堪称理性的判断。
　　人们总是把王殿甫接掌创维与当年他在危难之时受命于赛格相提并论。但他却说：“这两次情况很不相同。虽然当时的赛格总资产为38亿元，但是资产负债率高达113%，是个名副其实的亏损企业。而创维的资金链是健康的，银行几乎没有负债，是一个比较健康的企业。”
　　　这，其实就是王殿甫能在70岁高龄接掌帅印的“底牌”。
　　而上任之后，通过深入一线了解创维，包括生产基地、研发中心、管理团队，跟各层员工及领导交流等，更使他坚定了这种信心。
　　　“创维这个企业的根基是非常好的，基本上形成了自己的创新体系，良好的经济效益，庞大的销售网络和强大的品牌号召力。因而，我并不是创维的烧火者，做的只是给企业加温的工作。我的方针是在继承中发展。”
　　也许，创维的几大商业伙伴国美、苏宁、大中和永乐等在事件发生后都表示：“无论发生什么情况都力顶创维，不为所动。”这声明就是“创维之火”不灭的佐证？
　　原创维集团董事局主席兼CEO黄宏生曾说过：“民营企业是野生的，不容易生存，生存之后成长也很困难。”虽然困难，经过近二十年的艰辛打拼，一个拥有2万多员工，具有品牌影响力的民族制造业企业有他存续的道理。而作为这个事业的继承者，能够在继承中发展而不是全盘地否定则应该说是理性且善意的。
　　黄宏生：摸着石头过河 难免要踩地雷
　　“黄宏生是创业者，是大股东，目前还担任董事会的非执行董事，也参与企业战略的研究与决策。”当记者提起黄宏生，一向爽朗的王殿甫的回答也变得小心翼翼。
　　“我很理解黄宏生现在的感受，创维是他一手创办的，创维对于他，就是一种父子关系，我想这个时期让权，黄宏生可说是一种牺牲，但他无疑是为了创维这个品牌不因为这个事件‘突然死亡’，而是渡过难关、更好地活在市场。”接掌创维的时候，王殿甫说过这样的心里话。
　　无论黄宏生一案的结局如何，有一个事实不能否认：创维的发展无疑是伴随着其创立者黄宏生的不断改革而获得的。
　　比王殿甫差不多年轻20岁的黄宏生，这个出生于海南临高的创业者，他的童年及青年时代一直处于“贫穷与饥饿”之中。1977年国家恢复高考制度，才让他成为华南理工大学无线电工程系的一位毕业生。也才有了他与TCL李东生、康佳原掌门陈伟荣（都是华南理工大学无线电78级的同学），曾经“三星同辉”的佳话。
　　翻看创维的历史，可以清楚地看到：作为创业者，黄宏生在创维的发展中不断改革自己的管理政策，创维才能几经沉浮，保持企业的高速发展。
　　比如，1998年，受金融危机的影响，创维失去了马来西亚和俄罗斯40万台彩电的订单，几乎占到上年出口总量的80%；1999年，更有同行散布“创维将淡出彩电业”的传说，创维彩电从8月起全面滞销，损失达数亿元之巨。但创维一一闯过难关。
　　2000年11月2日，在四年内一手将创维的销售业绩从7个亿做到43.3个亿的原创维中国区域销售总部总经理陆强华，发表了一封《致创维销售系统全体员工公开信》。这封公开信将他个人与创维集团四年来的恩恩怨怨彻底公开，陆强华本人则携创维150多号人马(其中有11位原创维片区经理，20多位管理层的核心干部)集体跳槽。
　　当时，不少人预言：创维必将成为小霸王、爱多第二！谁都知道，对于一个大型制造企业来说，销售网络的毁坏，对创维意味着什么。
　　然而创维却奇迹般地活下来了。后来黄宏生在2002年的一次即兴演讲中，有一段精辟的话语:
　　“进入2002年，我的很多观念都发生了转变。这些转变是细微的，当然也是有争议的，愿与大家分享。第一，和气生财取代你死我活的斗争；第二，以人为本取代金钱万能；第三，诚信乃成功的第一要素，取代所谓的惊人胆魄、惊人才能；第四，‘谁动了我的奶酪’，取代‘人有多大胆，地有多大产’；第五，大公司规模、小公司管理，取代‘大而全、大而威’；第六，把产品做好，取代宏伟大计；第七，放眼世界全球化经营，取代内部相互残杀；第八，三百六十行，行行出状元，取代学而优则仕；第九，团队、放权、监督、制约，取代疑人不用、用人不疑……”
　　这样的心路历程有大量的事实为佐证：当年面对困境，黄宏生主动放弃了董事局主席的年金，还在股份制结构上进行改革，拿出1亿股股票期权分配给集团的800名管理人员和骨干；并重新构架销售团队。经过这一系列的改革，2000年创维实现在国内销售44亿元，出口5亿元，保住了业界老四之位。在2002年科技表彰大会上，创维还通过期权方式重奖研发人员，集团首席科学家李鸿安先生获得100万资金和300万股票期权，被称为“价值千万元”的打工皇帝。
　　黄宏生在“被迫”改良的过程中，创造着创维的辉煌。2004年《福布斯》富豪榜上，黄宏生以2.7亿美元的资产排在第31位。创维成为价值60多亿元的“电视王国”。
　　2005年8月26日，创维数码(0751.HK)在香港发布年报，显示上一个财务年度营业额再创历史性新高，为104.66亿港元，较上年同期增加13.6%；纯利为4.03亿港元，增长17.8%，成倍的利润增长远远高过同行。此外，截至2005年3月31日，创维在银行的现金及存款总共为19.4亿港元，比上年同期增加336%。
　　但是，人们清楚地知道：2005年创维的成绩，是在黄宏生退位之后由职业经理人王殿甫率领之下的企业团队打造的。设若没有王殿甫的继任，创维能否快速地“劫后余生”？
　　黄宏生当年曾经说过：“摸着石头过河， 难免要踩地雷”。不幸的是，他被自己言中了。是民企“原罪”也好，是在河边走不小心“湿”了脚也好，黄宏生在创立企业航母之后不得不交出企业的指挥棒。
　　　今天来看，交班是明智的。这不但救了创维，从另一个侧面讲也救了黄宏生自己。那么，由职业经理人接替创业者的历史是否也是一种必然？
　　一位了解黄宏生的朋友私下里对记者说：“黄宏生个性张扬，人称‘黄疯子’。在一次在深圳举办的论坛活动中，因为秘书比自己晚到，他非但当面批评秘书，还公然拂袖而去。”
　　爱憎分明、个性张扬，是这个时代许多民营企业家特别是创业者共同的性格。他们敏感而善于捕捉商机，但他们往往随意性大而规范性欠缺。再加上一股独大的先天问题，往往给企业的后续发展留下隐患。财报显示，黄宏生家族在上市公司中披露占股达77.45%。
　　一股独大的股权结构势必会加重经理人与老板的距离。并且使当时创维的财务监督、公司治理具有浓厚家族色彩。虽然黄宏生几经改革，但其改革并没有从根本上解决公司治理结构的质变。
　　黄宏生说：“民营企业是野生的，不容易生存，生存之后成长也很困难。”想来这句话除了说明民营企业生存的外部环境的恶劣外，创业型企业家在改革中无法突破无疑也是一种困扰。
　　家族企业的浴火重生，必须引入现代职业经理人制度，必须进行彻底的“革命”而非“改良”。
　　从黄宏生到王殿甫，是过渡还是跨越？
　　在未来电视产业的营销战略方面，王殿甫特别提到要从“红海战略”转向“蓝海战略”。
　　“红海战略”，就是盯住竞争对手，在竞争中取胜的战略；“蓝海战略”，就是甩开竞争对手，挖掘潜在市场，为用户提供有价值的产品和服务。王殿甫说，“蓝海战略”核心的两个推动引擎是技术创新和品牌创新。可以感受到，王殿甫的“蓝海战略”让人对未来创维充满信心。
　　体会着由黄宏生与王殿甫表演的这一出不是“双簧”的“双簧”剧，让人浮想联翩。同是2004年的那一个冬天，黄宏生被拘捕、王均瑶英年早逝、三九教父赵新先落马、倪润峰黯然“收山” 、郑俊怀蜗居看守所感受铁窗外面的纷扬……在众多企业是是非非的这一年，这些一度叱咤风云的人物，以不同方式谢幕商界，令人唏嘘！
　　旧人谢幕，新人登台。今天，外界把更多的目光投向了这些履新的继任者：赵勇、潘刚、王殿甫、王均金……他们掀起了新一轮的企业变革，这是否又是一种历史的必然？
　　有消息说，就在创维数码成功复盘、黄宏生一案审理渐进尾声之际，黄宏生之妻林卫平正式出任创维数码执行董事。业内人士猜测，此举很可能是为黄一案平复后、黄氏家族重掌大权所做的铺垫。
　　这一消息对于黄氏家族来说或许是好消息，但对于创维却未必是好消息。因为，王殿甫的空降和革命对于创维的发展来说，也许是一次机会，尽管革命在短期内的有利效果不会很明显，但从长远来说，它会促进公司管理上彻底改变。
　　而假设创维回到家族管理时代，对于创维来说是喜是忧？据了解，担任了董事局主席的王殿甫至今没有分享股份。记者采访王殿甫的时候，恰遇一旁有位亿万富翁缠着他谈论财富问题，王殿甫打趣地说：“你有1个亿，我可是连1000万也没有啊。”
　　王殿甫是阳光的。虽然他说自己不是真正的老板和财富拥有者，但他很自豪地表示：为国家创造财富感到无尚光荣。
　　但家族企业的跨越，仅仅靠职业经理人的奉献精神，而不是制度本身的变革，其跨越能否彻底恐怕还是个问题。
　　“王殿甫”与“黄宏生”，需要彼此来成就，更需要他们的互相成就来成就中国企业。
　　链接
　　创维黄宏生案接近尾声
　　创维前董事局主席黄宏生兄弟案已接近尾声。记者从黄宏生弟弟黄培升的律师林炳昌处获悉，全部证词已提供完毕，5月8日此案将进入结案陈词。
　　据了解，自开庭至今，共有10多位证人出庭作证。林炳昌律师称，由于香港和内地的官方语言不同，所以相关证人出庭作证都需要进行语言翻译，这样就很耽误审讯时间。另外，内地的法律与香港的法律也存在很大不同。
　　据了解，黄宏生本人目前对案件胜诉十分有信心。黄宏生这个月还在给创维高层开会，安排创维新财年的市场策略。
　　（来源：2006年4月27日《京华时报》）
　　创维新董事会班底亮相 王殿甫任董事会主席
　　因高层涉嫌挪用公司款项事件而一直停牌的创维数码(0751.HK)发布公告，宣布了新一届董事会成员，加盟创维不足两个月、69岁的行政总裁王殿甫正式被任命为执行董事兼董事会执行主席。同时，此前担任创维集团财务总监的梁子正和创维集团总经理张学斌被任命为执行董事。这三人中只有张学斌是原创维集团人员，梁子正也是在风波后的去年12月底才加盟创维的。
　　公告显示，此次王殿甫的执行董事及行政总裁任期为2年，期满后自动续约2年，年薪160万港元。不过，此次公告显示，王殿甫至今还没持有创维数码的任何股份或期权。另据了解，目前创维已经根据香港联交所的要求，对旗下的八大二级公司完成了整改，涉及创维风波的人员已被“隔离”在外，此举将有利于创维尽早复牌。
　　（来源：2005年1月27日《北京青年报》）
　　黄宏生妻子出任创维数码执行董事
　　在黄宏生案件仍未水落石出之际，2006年2月10日，创维数码公告称，从2006年2月8日开始，公司将委任杨东文和林卫平为公司执行董事。值得关注的是，林卫平正是创维创始人黄宏生的妻子。对此，创维数码董事会认为，目前黄宏生以及其弟黄培升是廉政公署若干指控的对象，但经过咨询，林卫平没有被视为指控对象，因此董事会认为，林卫平出任公司执行董事一职，可为创维集团做出更大的贡献。
　　（来源：2006年2月14日《南方都市报 》）
　　编后
　　王殿甫与黄宏生，两个重量级的人物。他们的相继执掌，使创维这条大船又一次绕过了暗礁、险滩。黄宏生是幸运的。创业历程中，一次次地化险为夷，一次次地逃生于“地雷阵”，应该可以抚慰一个创业者历经风霜的心。而对王殿甫的用人之妙，也许是他投资回报最高的一次？当然，王殿甫也是幸运的。设若不是黄宏生为创维留下了良好的现金流，和强有力的职业经理人队伍、特别有活力的营销队伍、特别能创新的科技队伍，恐怕他再年轻20岁也是无力回天。
　　而人们感慨的是：无论王殿甫与黄宏生，都是“少数分子”。更多与黄宏生同期的创业者倒在了“摸着石头过河”的浅滩上；许多与王殿甫一样满腹才华的职业经理人，因为家族企业改革的不彻底性而“阵亡”。如果说，黄宏生用王殿甫以“自救”算是成功的话，这个成功里有他沉着、理性，以及被迫舍弃的功劳；而在他自己历次的改良中，其实也是不断被迫舍弃的过程，只是这种舍弃的程度与彻底性的不同而已。
　　得、失、进、退，做企业的人如何才能拿捏得恰到好处呢？王殿甫与黄宏生的经历也许是一个不错的案例。
　　"
C000010,"
　　【搜狐IT左右间】（文/阿祥）自4月28日起，台湾当局向大陆开放“低端半导体封装测试”与“4英寸以下面板中段制程”项目，业内人士为此欢呼，称赞这是“顺应两岸产业发展的措施”。是的，台湾当局此次开禁，顺应了两岸产业发展的趋势，但是，开放的信号来得太晚，步伐迈得太慢。
　　“台湾工研院”董事长林信义也一再强调，IC产业赴大陆投资，是台湾发展全球高附加值制造中心不可或缺的一环，开放过晚将不利厂商竞争，并呼吁当局尽早放宽限制。
　　其实，除了上述两项，还有IC设计，都被台湾当局列为“禁止赴大陆投资项目”，一直严加封堵，强力阻挠投资商西移大陆。理由是，过分依赖内地将导致台湾半导体制造业的“空心化”。事实上，这是台湾当局很不明智的“误导”。
　　在4月中旬举办的“两岸经贸论坛”上，中国国民党名誉主席连战先生的一番话，震聋发馈。这里，请允许我摘录其中关于两岸半导体产业合作的一段话，与读者共享。
　　连战先生指出，“资讯硬件产业在台湾海内外的产值合起来是730亿美金，所以被人家称为‘重镇’。大陆以产地来讲，资讯硬件产业产值720亿美金，所以被人家称为是‘王国’。一个是重镇，一个是王国，都是世界名列前茅的两个，而台湾在大陆生产580亿。各位可以想一想，假如台湾没有机会到大陆来生产，或者大陆不允许跟台湾合作，相互的一减掉，台湾不过就是100多亿，大陆也不过就是100多亿，在世界的市场上无关宏旨，但是合起来叫什么？叫做1+1大于2，事实、数字会说话。”
　　连战先生特别强调：“IC整个产业链非常复杂，从IC的设计一直到厂商，中间一大串的事情。大陆向上游在力争，台湾在这方面整个的产业体系已经相当完整，也相当成熟。但是，因为它的市场规模太小，国际的品牌始终没有办法建立起来，……相互结合，也就是说上、中、下游全面结合，那将产生二十一世纪上半期最庞大的商业机会。……如两岸失去了合作的机会，台湾Passing、台湾Nothing。”
　　连战先生特别感叹：“在人类经济发展史上面，从来没有一个13亿的国家以长达27年之久的时间能够产生一个接近10%的经济增长率，从来没有过。”台湾当局应该清醒地认识到，两岸半导体产业一旦失去千载难逢的合作机遇，台湾半导体的优势不仅是短命的，而且最终将真正导致岛内半导体产业的“空心化”。
　　今年以来，面对大陆半导体业者低价策略抢攻台湾IC设计业订单，台积电、联电、力晶、茂德等台湾半导体业大厂强烈建议，台湾当局必须开放更先进的0.18微米制程以下技术西进。
　　两岸民间的合作呼声很高，违背民意，必将受到历史的惩罚。台湾当局的开放步伐已经赶不上台湾厂商的需求，最终受损的是台湾经济，是台湾半导体产业在国际市场上的地位。道理不用细说，应以双赢态度看待两岸半导体产业的合作，两岸半导体唇齿相依，如果不能融为一体，制造障碍者将成为民族的罪人，被钉在历史的耻辱柱上。"
C000010,"　　为保证通信大通道安全畅通，为客户提供安全、可靠、便捷、优质的通信服务，安徽铁通针对汛期来临和铁路跨越式发展的大面积建设对通信大通道带来的隐患，采取了六项措施加强大通道的防护。
　　一是加强日巡检制度。每天由巡检员乘坐火车进行巡检，重点观察电缆径路旁是否有施工迹象，确保对可疑地方做到及时处理；二是实行周步行检查制度。由区间承包人沿电缆径路步行检查，每周一次，查处是否有危及电缆安全的因素；三是对重点施工地段采取专人盯防，一方面防止施工人员因误动造成通信电缆中断，另一方面配合施工做好迁移等工作；四是委托铁路养路工人提供施工信息，凡是向铁通提供准确危及通信安全的信息奖励100元；五是做好通信大通道区间电缆径路标识工作，每隔50米埋一块电缆标识，每隔500米立警示牌一块；六是对电缆径路容易发生汛期塌方的地方进行了加强防护，对电缆接地进行了全面检查，防止汛期造成通信大通道中断。
　　目前，安徽铁通的安全工作良好，“四查、两学”活动正在全面开展，员工的安全意识普遍增强，企业的学习氛围更加浓厚。　　"
C000010,"　　【赛迪网讯】北京时间4月30日消息，全球第一大手机厂商诺基亚近日宣布，该公司将在低端和高端领域全线出击，力争在中国手机市场抢占更多份额。
　　诺基亚大中国区客户及市场运营高级副总裁赵科林（Colin Giles）近日表示：“截至2005年底，我们在大中国区手机市场占据了30%以上的份额。得益于一系列新产品的推出，今年第一季度我们的市场份额持续增长。我们已经处于非常有利的位置，未来将进一步扩大在中国市场的领先优势。中国市场目前有两大商机，其一是通过低价手机在农村市场获得新用户，其二是通过多媒体产品在上海和北京等大城市赢得更多时尚消费者。”不过，赵科林并没有透露诺基亚在中国的市场份额目标。
　　根据市场研究公司Strategy Analytics公布的数据，今年第一季度诺基亚在全球手机市场占有的份额为32.8%，高于去年同期的30.9%，稳居全球第一大手机厂商宝座。诺基亚市场份额的增长主要得益于在新兴市场，例如中国和印度市场的优异表现。排在第二位的是摩托罗拉，该公司第一季度在全球手机市场占有的份额为20.1%，高于去年同期的16.5%；三星电子位列第三，其市场份额由去年同期的14.1%降至12.1%。
　　为了进一步提升市场竞争力，诺基亚公司本周二推出了三款新型N-series系列手机，支持用户在行动过程中拍照、阅读电子邮件、听音乐、甚至观看电视。诺基亚表示，自去年4月推出以来，诺基亚Nseries多媒体手机的销量已经超过500万部。诺基亚公司预计，2006年全球多媒体手机销量将达到1亿部，2008年将超过2.5亿部。赵科林表示：“中国整合设备市场有着巨大的潜力，因为中国消费者的可支配收入持续增长，而且他们对这类产品有着浓厚的兴趣。”
　　三星电子等手机厂商将业务重心放在了中高端市场，因为中高端手机可以提升平均价格。但赵科林表示，诺基亚将在中国市场全线出击，涵盖所有的产品类别。他说：“中国市场目前有两大商机，其一是通过低价手机在农村市场获得新用户，其二是通过多媒体产品在上海和北京等大城市赢得更多时尚消费者。中国是一个巨大的市场，我们希望能把握住所有的商机。”
　　赵科林承认，诺基亚在中国市场面临着本土厂商的强劲挑战。诺基亚希望依托手机设计和用户界面，让自己的产品在众多品牌中脱颖而出。他说：“随着更多复杂设备的出现，用户友好度和用户界面越来越重要，这也正是诺基亚的优势所在。”手机行业正面临整合大潮，但赵科林称诺基亚并没有收购计划，特别是在中国。
　　赵科林表示，中国市场的激烈竞争将会延续。他说：“中国手机市场的激烈竞争并不会消失，因为任何时候中国市场都不缺乏竞争和竞争者。”"
C000010,"F107DT20060508214222.jpg"" border=1 twffan=""done"">中国电子信息产业规模已超过日本。（资料图片）
　　中新网5月8日电 中共中央办公厅、国务院办公厅近日印发《二00六━二0二0年国家信息化发展战略》，发展战略指出，当前中国信息化发展也存在着一些亟待解决的问题，主要表现在：
　　第一，思想认识需要进一步提高。中国是在工业化不断加快、体制改革不断深化的条件下推进信息化的，信息化理论和实践还不够成熟，全社会对推进信息化的重要性、紧迫性的认识需要进一步提高。
　　第二，信息技术自主创新能力不足。核心技术和关键装备主要依赖进口。以企业为主体的创新体系亟待完善，自主装备能力急需增强。
　　第三，信息技术应用水平不高。在整体上，应用水平落后于实际需求，信息技术的潜能尚未得到充分挖掘；在部分领域和地区应用效果不够明显。
　　第四，信息安全问题仍比较突出。在全球范围内，计算机病毒、网络攻击、垃圾邮件、系统漏洞、网络窃密、虚假有害信息和网络违法犯罪等问题日渐突出，如应对不当，可能会给中国经济社会发展和国家安全带来不利影响。
　　第五，数字鸿沟有所扩大。信息技术应用水平与先进国家相比存在较大差距。国内不同地区、不同领域、不同群体的信息技术应用水平和网络普及程度很不平衡，城乡、区域和行业的差距有扩大趋势，成为影响协调发展的新因素。
　　第六，体制机制改革相对滞后。受各种因素制约，信息化管理体制尚不完善，电信监管体制改革有待深化，信息化法制建设需要进一步加快。"
C000010,"　　【据新华社伦敦5月6日电】（记者葛秋芳）以色列特拉维夫大学的研究人员发现，手机天线能准确预测天气，使用户及时获得降雨信息。
　　研究人员解释说，为了有效接收来电，手机天线要不断地发送微波无线电信息，但水分子会吸收这种微波能，也就是说，要下雨的天气会破坏这些无线电信息。这时，每部手机的天线已有效收集到这一信息，因为天线必须不停地调整信号强度来纠正干扰。
　　"
C000010," 

苏宁电器卖场　　资料图片
　　本报讯（记者 吴从斌 实习生 罗苏 陈雪）苏宁电器内部人士昨日向本报透露，苏宁电器今年将在全国新开300余家连锁店。昨日，苏宁电器董事会通过一项重大决议：公司拟通过定向增发2500万新股的方式（每股作价31.12元）向社会公开募集的7.8亿元资金。
　　苏宁电器总裁孙为民昨日接受本报采访时，承认准备通过定向增发新股的方式进行融资。孙为民表示，公司此次大规模融资，其资金主要将用于三大业务：新开连锁门店、在江苏建立物流基地、公司数据信息系统再度升级。
　　一年内新开300家门店，首要面临的最紧急问题便是资金紧缺。据苏宁人士介绍，按苏宁目前开店的成本看，每开一家店所需的资金，平均成本在1200万元左右。记者照此成本计算，苏宁今年新增门店所需资金，至少在36亿元。7.8亿与36亿相比，其资金缺口仍显得非常大。对此，苏宁方面表示，公司今后将有一系列筹措资金的办法，不排除再次通过增发新股进行融资。"
C000010,"　　摘要：世芯电子曾负责索尼计算机娱乐(SCE)PS2用图形处理LSI“Graphics Synthesizer”等产品的设计工作，并一次性完成了设计
　　天极网5月8日消息(记者 方堃)世芯电子是台湾一家无工厂厂商，目前有8成的销售额来自日本市场。但是在该公司的未来战略中，美国和中国却成为其拓展全球业务的中心。
　　所谓无工厂厂商就是根据客户提供的数据和要求，自行负责设计、布局等工作并交给其他芯片制造和组装厂商进行生产，之后向客户提供成品芯片。世芯电子曾负责索尼计算机娱乐(SCE)PS2用图形处理LSI“Graphics Synthesizer”等产品的设计工作，并一次性完成了设计。此外，还曾因为SCE设计的其他LSI，而获得美国EDA业界团体“EDAC”颁发的“Design Achievement Gold Award(设计架构金奖)”。该公司首席执行官兼总裁关建英日前曾表示:“希望借助这些成就，以中国和美国为中心进军全球市场”。"
C000010,"　　CNET科技资讯网4月29日国际报道 本周五，欧盟委员会的一名律师在法庭上表示，微软对PC操作系统的垄断采取的“双保险”措施触犯了反垄断法律。
　　微软的一名律师说，通过强制执行包含在2004年反垄断裁定中的惩罚措施，欧盟委员会想要剥夺微软受到法律保护的创意。
　　欧盟委员会发现，微软利用它占有95% 的PC操作系统市场这一优势占领了60% 的工作组服务器市场。PC利用协议登录并在工作组服务器上执行其它操作。在进入工作组服务器市场后，微软就不再向其它工作组服务器厂商提供相关协议的资料了。
　　欧盟委员会的律师安东尼说，微软使用了“特别的”互操作信息，其它厂商获得这些信息的要求多次受到了拒绝。
　　安东尼表示，这使微软给它对PC市场的垄断“上了双保险”。为了与微软竞争，潜在的竞争对手需要同时进入工作组服务器市场和PC操作系统市场。
　　欧盟委员会在反垄断裁定中强制微软向对手许可其互操作信息。微软的律师伊恩说，欧盟委员会解决方案本身就会带来合法保护创意的问题。
　　他表示，微软被要求向对手许可包括专利、版权、商业秘密在内的知识产权。
　　伊恩表示，微软曾经拒绝向Samba 提供许可，由于是开放源代码项目，向Samba 提供许可会造成其商业秘密的泄露。
　　库克法官询问欧盟委员会的律师称，在什么情况下这些协议应当被提供给Samba 等竞争对手，Samba 等竞争对手是否有权将它们以开放源代码形式发布到市场上。
　　安东尼说，目前还没有这方面的考虑。
　　"
