C000010,C000010_times,C000013,C000013_times,C000014,C000014_times,C000023,C000023_times,C000022,C000022_times,C000020,C000020_times
公司,142,医院,233,直播员,260,小白,73,工作,326,发展,191
创维,91,检查,95,比赛,168,珍妃,73,企业,108,学生,180
市场,91,医生,92,上半场,77,女书,69,公司,105,学校,150
手机,88,患者,89,国安队,70,社会,63,员工,100,孩子,139
分类,76,治疗,78,纳什,68,美国,61,公务员,94,经济,134
用户,73,药品,72,下半场,66,住房,57,招聘,93,教育,120
信息,62,医疗,63,第二节,55,贷款,56,工资,93,建设,98
服务,56,疾病,56,跳投,52,生活,56,生活,71,专业,93
技术,56,医药,52,篮板,51,文化,53,老板,71,考生,89
微软,56,产品,52,球员,45,日本,52,简历,67,招生,84
提供,55,健康,52,科比,45,一页,48,找到,62,社会,78
网络,52,女性,51,对手,44,发展,45,人才,58,工作,78
黄宏生,51,精子,49,防守,43,历史,40,职业,56,东北,74
产品,47,研究,47,重庆队,43,北京,40,策划,56,东北地区,73
王殿甫,45,记者,44,比分,42,国家,39,时间,51,学习,72
亿美元,45,傣药,43,犯规,42,女人,38,女性,48,考试,67
广告,44,注射,43,队员,41,民族,37,北京,47,国家,66
发展,42,专家,42,对方,41,毛泽东,35,相关,47,绿色,64
时间,38,市场,42,第一节,40,人口,35,就业,47,就业,63
功能,37,感染,42,进攻,37,世界,34,加薪,46,材料,55
网站,35,工作,41,机会,36,华国锋,34,路芷佩,45,环境,55
企业,34,消费者,39,主场,36,两个,33,网页,42,哈工大,55
消息,34,高血压,38,任意球,36,父亲,33,毕业生,42,家长,52
业务,34,企业,37,得分,35,作品,33,客户,42,政策,51
美国,34,认证,37,俱乐部,35,皇帝,32,情况,41,能力,51
销售,32,发现,36,球队,34,光绪,32,面试,40,重点,49
改革,31,癌症,36,北京,31,慈禧,32,选择,39,农村,49
消费者,31,咽喉,36,冠军,31,发现,31,人员,39,老师,48
部门,31,发展,34,参加,30,大黑,31,专场,39,资源,48
全球,30,发生,34,将球,30,太后,31,机会,38,产业,48
支持,29,宫颈,34,破坏,30,经济,29,网络,38,生态环境,47
号段,29,单通,33,联赛,29,晓军,29,求职,37,大学,46
记者,28,选择,32,助攻,29,王总,29,职位,36,提高,44
核算,28,品牌,32,禁区,29,情况,29,能力,36,影响,44
推出,27,症状,32,球迷,28,传统,27,专业,35,生态,44
收支,27,药材,31,热队,28,台湾,27,发展,34,城市,43
方式,26,国家,31,太阳队,28,军事,27,孩子,34,情况,42
康宁,26,卫生部,31,中国队,27,斯大林,27,喜欢,33,网络,42
政府,25,口腔,30,网队,27,波伏瓦,27,调查,33,历史,40
厂商,24,费用,30,再次,27,家庭,26,一页,32,教师,40
行业,23,增加,29,选手,26,女性,26,薪水,32,建立,38
电信,23,人员,29,失误,26,工作,26,收入,32,英语,38
服务器,23,生产,28,上篮,26,时间,26,研究生,32,录取,38
科技,22,肾积水,28,表现,25,欧大哥,26,家长,32,原因,38
创新,22,情况,27,记者,25,住宅,26,影响,31,志愿,38
工作,22,男人,27,领先,25,标准,25,调整,31,成绩,37
台湾,22,控制,26,命中,25,城市,25,上海,31,关系,36
潘鹏凯,22,政府,25,时间,24,提出,25,美国,30,时间,36
静电,22,公司,25,分钟,24,思想,25,领导,30,生活,36
国内,21,预防,25,训练,24,文字,25,硕士,29,政府,35
万美元,21,病人,25,三分,24,保护,25,大学,29,方式,35
英特尔,21,项目,24,决赛,23,警察,25,同事,29,基地,35
分析师,21,临床,24,门将,23,小倩,25,校园,29,正确,33
平台,20,常见,24,突破,23,小说,24,信息,28,报考,33
去年,20,身体,24,中场,23,西方,23,希望,28,工业,33
管理,20,技术,23,北京国安队,22,方式,23,跳槽,28,计划,33
通信,20,提高,23,迪奥,22,研究,23,毕业,27,调整,32
运营商,20,表现,23,最终,21,王珍如,23,一份,27,阅读,32
利润,19,导致,23,体育,21,发生,22,国家,27,高校,32
软件,19,作用,23,太阳,21,老毒,22,事情,26,毕业生,32
产业,18,服务,22,组织,21,部队,22,压力,26,思想,31
发布,18,肿瘤,22,马里昂,21,说法,22,告诉,25,文章,31
行政,18,通用,22,状态,20,分钱,22,心理,25,分析,31
