class,text
O1,基于犹豫模糊矩阵与变异算子的变电设备故障检修仿真 犹豫模糊矩阵/变异算子/变电设备/故障 为降低变电设备故障检修时的综合风险成本，提出基于犹豫模糊矩阵与变异算子的变电设备故障检修方法。设置犹豫模糊矩阵，提取变电设备振动信号特征，将特征值输入稳定的Hopfield神经网络，分类诊断变电设备的故障；通过基于变异算子的变电设备故障检修优化模型，构建目标为综合风险成本的函数，设置约束条件为电网停电次数为1次、传输功率不越限，获取符合检修目标和约束条件的检修最优方案。实验仿真结果显示：所提方法可优化变电设备故障检修方案，提升变电设备故障诊断效率，保证设备检修的停电次数为每月1次，降低电网综合风险成本。
O1,基于OWA算子的模糊n-cell数排序方法 模糊n-cell数/有序加权平均算子/排序/权重 针对基于模糊n-cell数的多属性排序问题，提出了一种基于有序加权平均算子(OWA算子)的模糊n-cell数排序方法。该方法首先根据样本数据对评估对象的属性构造模糊n-cell数，其次根据均值将属性按照从大到小排列，然后选取合适的权重向量，应用OWA算子进行信息聚合得到综合模糊n-cell数，接着根据各分量均值得到排序结果。最后，将该方法运用到实例中，并与传统的均值方法进行了比较。结果表明该方法不仅灵活有效，可根据具体情况选择不同的OWA权重来消除部分不合理的情况，使结果更有说服力，还弥补了传统均值方法的不足。
O1,一个考虑染色体端粒长度的肿瘤细胞分裂增长模型的定性分析 肿瘤细胞分裂增长模型/染色体端粒长度/算子半群/全局适定性 本研究聚焦于研究一个考虑染色体端粒长度的肿瘤细胞分裂增长模型.在此模型中，肿瘤细胞分成活跃期和休眠期2种状态.将此模型转化为巴拿赫空间的柯西问题后，利用算子半群理论给出全局适定性的详细证明，并给出此模型一致指数稳定的条件.
O1,混合式教学在高职数学教学改革中的运用策略探析 混合式教学/高职数学/教学改革/运用 高职数学是专业课程体系中的基础部分，旨在培养学生数学应用能力及综合素养。当前课程开展中存在定位不准、教法单一以及实践不强等问题。为了适应教学改革的需求，应根据当前情况应用现代教学手段，切实提升课程开展的效果。混合式教学是将线下授课与线上教学二者进行结合，规避了传统教学模式中课堂效率不高、师生互动性较差、学生主动性不强等问题。本文对混合式教学在高职数学教学改革中的运用进行分析论述，并结合实际提出具体策略，以期帮助学生成人、成才。
O1,基于“互联网+”数学公共基础课程建设研究 互联网+/课程建设/工科数学 在“互联网+”背景下，探究工科院校数学类公共基础课程符合国家“十四五”发展教育规划要求，适应新时代发展特色的课程群的建设具有重要的意义。文章以基于互联网技术的“3+4”特色课程建设新模式为着力点，面向沈阳建筑大学一年级和二年级本科生，讨论了数学类公共基础课程群的建设和应用实践，构建了适应工科院校新时代发展需求的特色方向课程群。最后，通过校企合作、数学建模、创新创业建立数学应用实践体系，培养学生的综合素质与创新能力。
O1,职业院校公共基础课德智交融课堂的构建与实践——以数学课程为例 公开基础课/德智交融/内涵特征/课堂样态 课堂教学是落实立德树人根本任务的主渠道，既要讲授文化基础知识，又要加强学科德育。德智交融课堂以落实立德树人根本任务为宗旨，以学习为中心，将德育教育、课程思政与学科核心素养有机融合，培养德智体美劳全面发展的高素质劳动者和技术技能人才。构建德智交融课堂的时代价值包括有利于落实立德树人根本任务，有利于提升人才培养质量，有利于青少年形成正确的价值观。通过恰当介绍学科文化、巧用社会热点问题、创设学科实践活动、学科与专业相融通等策略在公共基础课中融入道德教育。
O1,"通信类研究生数学建模能力的培养与实践 四位一体/数学建模/创新能力/科研赋能 培养高层次科技创新人才是新时代研究生教育的历史使命和责任担当。新工科倡导的“前沿技术引领性”“学科间交融性”“知识体系多样性”和“人才培养创新性”等理念为我国通信类研究生与高端人才的培养提供新思路。针对通信类研究生培养需求,分析通信类研究生能力培养挑战,指出通信类研究生教育仍存在通信系统综合实践能力弱、通信问题数学建模能力不足等问题。基于此,揭示数学建模能力对研究生创新能力培养的支撑作用,探索提出“课程教学-学科竞赛-科研项目-社会实践”四位一体研究生创新能力培养体系,介绍培养中的创新实践以及在学科竞赛、科研创新和人才培养等方面的成果成效。"
O1,基于新媒体应用的高职数学翻转课堂教学策略探究 新媒体技术/翻转课堂/高职数学/微课视频 随着新媒体技术的广泛应用，高等职业教育迎来了新一轮的教学改革机遇。数学作为许多高职专业的基础学科，其教学质量直接影响着学生的综合素养，有必要运用新媒体技术优化翻转课堂在高职数学教学中的应用策略，强化教学效果。文章首先分析翻转课堂的理念内涵，即重构教与学的过程，指出其具有提高学习主动性、加强互动探究、个性化指导等方面的优势，并剖析高职数学教学中存在的问题，如学生基础不同、学习兴趣缺失、实践能力弱等，阐述翻转课堂在解决这些问题方面具有明显优势。在分类阐述新媒体技术的基础上，文章分析高职教育广泛应用新媒体技术的现状，包括传递内容、创新交流、改革评估，进而结合翻转课堂的环节设计与新媒体技术的功能优势，提出翻转课堂三个环节，即课前自主学习、课中互动探究、课后作业评价的新媒体应用策略：课前阶段，运用微课视频、在线课程、移动APP等新媒体形式碎片化自学；课中阶段，利用交互白板、反馈系统、线上社区等新媒体工具开展师生互动；课后阶段，使用在线作业、电子作业本、学习分析工具等强化过程性评价。文章指明新媒体参与下翻转课堂的技术路径，主张实现从“教师中心”到“学生中心”的转变，旨在为新媒体技术与翻转课堂的深度融合提供理论支撑。
O1,具有分段常数参数的Cohen-Grossberg神经网络的全局指数稳定 Cohen-Grossberg神经网络/分段常数参数/李雅普诺夫函数/全局指数稳定性 主要研究了具有分段常数参数的Cohen-Grossberg神经网络的全局指数稳定性，得到了保证平衡点的存在唯一性的充分条件，通过线性不等式方法，并构造适当的李雅普诺夫泛函，提出了系统的平衡点的全局指数稳定性的判据，最后给了一个数值例子验证所得结果的有效性。
O1,通识教育理念下应用型大学数学课程教学改革路径 数学课程/教学改革/通识教育/应用型大学 为了培养高素质的应用型人才，文章基于相关背景，从教育观念、教学内容和教学方法三个方面论述了通识教育理念下应用型大学数学课程教学改革路径。
