class,text
C000008,"     证券通：Ｇ 皖 通 车流量稳定增长 大股东可能注入优质资产（推荐）

                                         股票评级☆☆☆☆☆

    深度报告 权威内参 来自“证券通”www.KL178.com

  G皖通(行情,论坛)（600012）05年业绩增长迅速，计重收费方式下公司单车收入的大幅增长及合宁线的改造完成带来了利润的超速成长；在计重收费下的一次性惩罚性收入效应逐渐削弱的情况下，公司将通过内生车流量的增长，主营成本的下降（稳定的道路养护成本以及直线折旧法）的方式使得业绩在目前基础上依旧有望获得持续提升。
考虑到公司车流量稳定增长以及大股东注入优质资产的可能，另外，根据股改协议未来数年高分红比率将能实现（未来数年股息收益率将在6％以上），参考A股公路定价水平，06年12-14倍PE定价是能够被市场接受的，合理价格区间是5.4-6.3元，目前股价存在一定低估，仍有14％－33％上升空间。因此给予投资评级为“推荐”。

    更多详情免费咨询021*64690729或登录www.KL178.com（证券通），资深行业研究员为您提供客观、深度、超前的投资信息。

    本文版权为“证券通”独家拥有，任何单位和个人不得复制、转发以及用于业务经营，违者将追究其法律责任。

    评级说明
★★★★★ 坚决规避
☆★★★★ 适当减仓
☆☆★★★ 风险较大
☆☆☆★★ 审慎推荐
☆☆☆☆★ 首次推荐
☆☆☆☆☆ 强烈推荐
作者声明：在本机构、本人所知情的范围内,本机构、本人以及财产上的利害关系人与所述文章内容没有利害关系。本版文章纯属个人观点,仅供参考,文责自负。读者据此入市,风险自担。"
C000008,"&nbsp&nbsp&nbsp&nbsp*ST古井A董事会于2006年4月24日公告股权分置改革方案，至2006年5月9日
公司非流通股股东通过多种形式与A股流通股股东进行了沟通。根据双方沟通结
果，公司股权分置改革方案部分内容作如下调整：
&nbsp&nbsp&nbsp&nbsp调整为：
&nbsp&nbsp&nbsp&nbsp公司非流通股股东拟向股权分置改革方案实施股权登记日收市后登记在册
的流通A股股东总计安排8,000,000股股票对价，公司A股流通股东每持有10股流
通股将获得公司非流通股股东安排的4股股票。股权分置改革方案实施后首个交
易日，公司非流通股股东持有的非流通股份即获得上市流通权。
&nbsp&nbsp&nbsp&nbsp公司股权分置改革方案的其他内容没有变化。
&nbsp&nbsp&nbsp&nbsp
"
C000008,"
　　近期国际金价涨势凶猛，90％以上炒金族都赚了，不少人判断金价还会上涨
　　五一黄金周有人玩得开心，也有人赚得开心。来自建行重庆分行的消息称，一市民5月2日用近20万元买入纸黄金，乘国际黄金价格近期猛涨之时，于5月5日卖出，仅仅用三天时间就赚了1万元左右。
　　据建行人士介绍，5月2日，国际黄金价格位于655美元/盎司左右，此次该行纸黄金的买入价格在166元/克左右，此时，这位市民下手了，其用20万元买入1200克纸黄金，等待其涨价赚钱。
　　该人士也的确选对了下手时机。5月2日起，国际黄金价格一路飞涨，5月5日更涨到675美元/盎司左右，而纸黄金的卖出价格也达到了174元/克。该人士没有犹豫将买入的1200克纸黄金以174元/克的价位全部卖掉，这样，仅3天时间，其就赚了1万元左右。
　　""如果这人昨日卖出，每克还可多赚2元，因为昨日国际黄金价格最高达超过684美元/盎司，纸黄金最高卖出价达到176元/克""，建行人士说，如果这位人士迟卖3天，还能多赚2400多元。
　　近期国际黄金价格涨势凶猛，中国银行重庆分行五一期间成交额就超过300万元，90％以上炒金一族都赚了。并且，一次性买入10多万纸黄金的市民大有人在，但不少人认为黄金价格还会上涨，卖的人相对较少。"
C000008,"　　受日本央行总裁福井俊彦言论以及市场预期美联储即将结束本轮加息周期影响，昨日日元对美元汇率创下八个月以来的高位。
　　福井俊彦周日在瑞士巴塞尔参加国际清算银行(BIS)的央行总裁会议时表示，“日本经济已完全步入持续复苏或持续扩张的轨道，物价保持稳定，日本央行未来几周可能停止从市场中消除多余的流动性，但对于下一步货币政策措施没有预设立场。”他说，继3月份终止超宽松货币政策之后，日本央行对各种选择保持开放态度。
　　福井俊彦此番言论令市场纷纷预计日本央行将在6月份完成从市场中清除多余流动性的工作后就会启动加息。此外，由于美国近期的数据也令市场预期美联储将再加息一次后就结束本轮的加息周期，这也导致美元走软。
　　昨日伦敦汇市，美元对日元一度从上周五的112.58跌至111.44，为去年9月23日以来的最低位。欧元对日元也跌至142.05。截至北京时间昨日18：00，美元对日元再度跌至111.18，欧元对日元则跌至141.99。"
C000008,"  《经济通专讯》恒生银行（０１１）副董事长兼行政总裁柯清辉于记者会表示，近期地产发展商楼盘减价出货，只针对某类近数个月成交呆滞的楼盘，但减价后有承接，反映市场有需求。  对于银行承造按揭是否出现估价不足情况，他指出，现时银行是外判予专业估价公司按市况进行估价，是根据市价厘定，反映市况。（ｃａ）作者声明：在本机构、本人所知情的范围内,本机构、本人以及财产上的利害关系人与所述文章内容没有利害关系。本版文章纯属个人观点,仅供参考,文责自负。读者据此入市,风险自担。"
C000008,"　　本报记者 沈 玮
　　上海报道
　　华源集团的重组工作正在顺利推进。
　　5月8日，本报从华源集团获悉，华润集团对华源集团的尽职调查已经基本告终；五一长假之后，华润将整理尽职调查报告，并根据该报告拟定初步的重组方案。
　　“华润方面已经初步了解了尽职调查的结果，他们认为华源的资产状况比之前预计的要稍好。”一位接近华润的人士表示，华润集团内部成立了华源项目组，主要分为财务组、纺织组、内审组、法律组、人力资源组、发展组、投资管理组等，为接下来重组方案的实施打下了基础。
　　4月21日，华源集团管委会召开中层以上干部大会。管委会主任阎飙会上表示，华源的主要问题在于管理不到位、不良资产没有及时处理、资本市场操作不专业。但他也强调，华源的产业结构、行业地位、市场规模和产品技术等方面的优势依然存在。今年第一季度，华源的医药板块比去年同期依然取得了增长。
　　另一方面，鼎晖对华源小股东的股权收购也取得了实质性进展。
　　目前，17家原华源集团股东已签署了股权转让协议，重组的第一步即集中股权的工作已接近尾声。原华源集团21家股东当中，第三大股东金夏股权已经归属鼎晖投资基金，除国务院国资委(持股9.14%)、华源集团职工持股会（8.465%）和华夏证券股份有限公司(持股2.09%)外，另17家原华源集团股东已签署股权转让协议。而国务院国资委所持股份已于2月16日划归华润集团托管。
　　“华夏证券的股权有些纠纷，但是只是程序上的问题，最终还是要转给鼎晖的。包括职工持股会的股权也会转给鼎晖。”知情人士解释说，由于鼎晖隶属摩根士丹利，涉及到境外资金对央企的收购，需要特别报商务部审批，目前还在等待最后的审批结果。
　　他也表示，由于重组方案得到国务院国资委的支持，而且鼎晖只是参股，商务部的审批只是时间问题。
　　一位接近鼎晖投资的人士透露，收购这些小股东的股权，鼎晖投资将要拿出8亿元左右的现金收购，此前华润已经拿出2.5亿元偿还了华源集团的到期债务。一旦鼎晖收购落定，华润初期还将至少拿出20亿左右的资金增资扩股，将自己的股份比例扩大到70％以上。最后双方再同比例增资，解决华源发展(行情 - 留言)资本金不足的根本问题。"
C000008,"
&nbsp;&nbsp;&nbsp;&nbsp;经过沟通,长丰汽车(行情,论坛)(600991)股改对价由原来的流通股东每10股获3.2股提高到每10股获3.8股,公司股票也将于明日复牌交易。
&nbsp;&nbsp;&nbsp;&nbsp;与此同时,非流通股股东承诺的股改后增持公司股份的价格条件也有所变化。原方案为自股改实施之日起两个月内,如长丰汽车(行情,论坛)股票价格低于每股3.83元,控股股东长丰集团将投入累计不超过人民币1亿元的资金通过上交所集中竞价来增持流通股,现在则把增持价格底线调高到长丰汽车(行情,论坛)股价低于每股4.3元即开始行动。而该公司控股股东长丰集团做出的3年不上市交易或者转让股份的承诺继续有效,且在3年满后的两年内股份减持价格将不低于每股7元。 
"
C000008,"&nbsp&nbsp&nbsp&nbsp虽然央行加息政策赶在“五一”前出台,但这个黄金周南京楼市依然延续了今年春节后的热度。与去年“六一新政”施行前夕黄金周的冷清寂寞相比,今年的“五一”南京楼市让人明显感受到了“回暖”的力量。
&nbsp&nbsp&nbsp&nbsp记者采访发现,“五一”期间,精明的开发商们纷纷推出各种优惠促销活动,民俗表演、拳王争霸赛、买房抽奖、送旅游、送大礼包等等。纷繁的促销活动给假日楼市带来了旺盛的人气。
&nbsp&nbsp&nbsp&nbsp在奥体板块某超级大盘的开盘仪式上,购者云集,热闹非凡。售楼处及其门前广场人头攒动,当天签约客户达到700多户,销售相当火爆,以至于现场一位购房者感叹：“好像不要钱一样,多久都没看到这种场面了。”
&nbsp&nbsp&nbsp&nbsp江北某楼盘也在5月1日举办了大型民俗文化节,以带动楼盘销售。据介绍,当天约有600人到现场咨询,成交量达到了50套左右。
&nbsp&nbsp&nbsp&nbsp一位购房者表示,很想在“五一”黄金周里买房子,好歹比平常多了一两个点的优惠,也够一家人“十一”出去旅游一次了。
&nbsp&nbsp&nbsp&nbsp业内人士认为,“五一”黄金周南京楼市的红火在预料之中。经过去年的宏观调控之后,今年以来南京楼市正在逐渐回暖,购房者压抑许久的购房需求在春节后首个长假得到集中释放。而“买涨不买跌”的心理也让购房者蠢蠢欲动。一对打算近日买房的夫妇表示,最近南京的房价都开始上涨了,感觉再不买就要错过现在的好机会了。
&nbsp&nbsp&nbsp&nbsp尽管黄金周南京楼市一片繁荣景象,但现在断言今年南京房地产市场全面乐观还为时过早。从目前来看,新出台的加息政策对楼市的影响不明显,但其效应可能具有一定滞后性,影响究竟有多大,现在还很难说。
&nbsp&nbsp&nbsp&nbsp分析人士也指出,此次加息的幅度有限,购房者的买房成本增加得不多,一些自住需求的购房者并不会因此而放弃买房,但是对于正准备投资的购房者来说,加息肯定会起到抑制作用。从2005年至今,南京房地产市场的投资比例已经下降到不足5%,此次新一轮加息,可能会使投资人群进一步减少。
&nbsp&nbsp&nbsp&nbsp专家称,现在房地产需求从去年低谷开始回暖,但并没有出现需求明显放大迹象,房地产行业仍面临挑战。"
C000008,"&nbsp&nbsp&nbsp&nbsp特别提示
&nbsp&nbsp&nbsp&nbsp本公司及董事会全体成员保证公告内容的真实、准确和完整,对公告的虚假记载、误导性陈述或者重大遗漏负连带责任。
&nbsp&nbsp&nbsp&nbsp重要内容提示：
&nbsp&nbsp&nbsp&nbsp●被担保人名称：住商肥料(青岛)有限公司
&nbsp&nbsp&nbsp&nbsp●本次担保数量及累计为其担保数量：本次最高担保额为3500万元人民币；截止公告日,公司为其累计担保金额为3000万元人民币
&nbsp&nbsp&nbsp&nbsp●对外担保累计数量：截止公告日,公司对外担保累计数量为3.285亿元人民币
&nbsp&nbsp&nbsp&nbsp●本次是否有反担保：否
&nbsp&nbsp&nbsp&nbsp●对外担保逾期的累计数量： 0
&nbsp&nbsp&nbsp&nbsp一、担保情况概述
&nbsp&nbsp&nbsp&nbsp青岛碱业股份有限公司第四届董事会第十五次会议审议通过《公司关于继续为子公司住商肥料(青岛)有限公司提供担保的议案》
&nbsp&nbsp&nbsp&nbsp2005年4月21日公司四届八次董事会审议通过对控股子公司住商肥料(青岛)有限公司提供贷款担保3500万元,期限一年,2006年6月担保协议期限将至。该公司拟以还旧借新的方式,向银行贷款3500万元人民币。为保证本公司控股子公司住商肥料(青岛)有限公司经营活动的正常进行及流动资金的需求,根据该公司2006年度资金需求计划,经公司四届十五次董事会审议通过,同意为其向青岛中信实行银行贷款2500万元、向中国银行平度支行贷款1000万元提供信用担保,为期一年。
&nbsp&nbsp&nbsp&nbsp二、被担保人基本情况
&nbsp&nbsp&nbsp&nbsp公司名称：住商肥料(青岛)有限公司
&nbsp&nbsp&nbsp&nbsp注册地点：青岛平度市青岛路104号
&nbsp&nbsp&nbsp&nbsp法定代表人：邢建坪
&nbsp&nbsp&nbsp&nbsp经营范围：复合肥的生产和农用资料的加工销售,以及向用户提供农化服务。2005年度,该公司共实现主营业务收入1521万元,利润总额-477万元,净利润-477万元。2006年4月末,该公司总资产     万9875元,总负债4717万元,所有者权益5158万元。2006年1--4月份,实现主营业务收入3480万元,利润总额-157万元,净利润-157万元。住商肥料(青岛)有限公司是公司的控股子公司。
&nbsp&nbsp&nbsp&nbsp三、担保协议的主要内容
&nbsp&nbsp&nbsp&nbsp1、担保金额为人民币3500万元；
&nbsp&nbsp&nbsp&nbsp2、担保期限：一年
&nbsp&nbsp&nbsp&nbsp3、公司承担连带保证责任。
&nbsp&nbsp&nbsp&nbsp四、董事会意见
&nbsp&nbsp&nbsp&nbsp住商肥料(青岛)有限公司,是中日合资的以生产高尖端化肥产品为主的公司,市场前景广阔,为进一步支持该公司的正常经营和快速发展,董事会同意为上述贷款提供担保。
&nbsp&nbsp&nbsp&nbsp五、备查文件目录
&nbsp&nbsp&nbsp&nbsp1、青岛碱业股份有限公司四届十五次董事会决议；
&nbsp&nbsp&nbsp&nbsp2、被担保人财务报表；
&nbsp&nbsp&nbsp&nbsp3、被担保人营业执照复印件。
&nbsp&nbsp&nbsp&nbsp青岛碱业股份有限公司董事会
&nbsp&nbsp&nbsp&nbsp二00六年五月九日"
C000008,"　　本报记者边长勇发自北京
　　谈论起董事会话题，ColinB.Carter滔滔不绝，作为波士顿咨询的公司治理议题资深专家，ColinB.Carter在挽救很多公司董事会的活动中也会充当着“救世主”的角色，他还写了一本叫《董事会的作用与效率：如何在复杂的环境中设计公司董事会》的书。
　　可这样一个权威人物却“觉得自己不是很称职的董事”，这份工作“对我也很有挑战性”。
　　身兼几家国外上市公司独立董事的他，还有着自己繁忙的工作，显然，对几家上市公司的几种不同业务缺乏足够了解和精力去应付。
　　其实，很多独立董事都在面临这种尴尬，这种尴尬甚至到了危害很多上市公司董事会表现的地步。
　　独立董事越来越外行
　　“十年以前董事会被视为皇室，没有人胆敢质疑他们的工作。”Colin B.Carter 对《第一财经(相关:理财 证券)日报》说。但五年之后这一切都发生了改变，安然、帕玛拉特、世通等企业出现丑闻或者轰然崩溃，其董事会则被指为渎职、无能甚至违反法律，“独立”的概念逐渐被视为良好的企业治理的核心内容。
　　近几年，我们在世界范围看到的新的监管法规几乎都是围绕着董事会必须独立于管理层和大股东的核心而设计，“董事的独立性定义被要求得更加严格”，国外典型经验甚至包括：董事会中独立董事（执行董事）必须占多数；应当由独立董事，而不是首席执行官，控制董事提名和向股东推荐等程序。
　　在中国要求独立董事加强独立性的呼声也是一直不断，通过国人对独立董事五花八门污辱性的称呼就能看出这一点：人情董事、花瓶董事、荣誉董事、糊涂董事、傀儡董事等。
　　董事会的“独立性”作为企业治理问题的“良药”被过度夸大。的确，独立性很重要，但是ColinB.Carter认为过度强调独立性有害无益。“我们在推动董事会独立性方面是不是走得太远了，新的法律和法规虽然意图很好，但不大可能改善董事会的运作。”
　　在过分强调独立性的同时，“独立董事对企业的了解有限因而可能无法有效履行职责”， Colin B.Carter 对本报记者说，他们很少或者从未在企业工作过，从未给企业做过顾问、也不是企业的客户。“在国内，大学教授最容易被邀请担任独立董事”，波士顿咨询公司北京办公室的副总裁兼董事瑞豪说。最然加强独立性仍是中国上市公司独立董事发挥作用的首要问题，即使他们很独立，可这些人如果不对纷繁复杂的公司业务足够了解，如果不在紧张的科研教学抽出足够时间，他们又能起多大作用呢？
　　“大部分独立董事都是兼职来做，其中大部分也没有充足的时间来做这件事情”，ColinB.Carter对本报记者说。根据波士顿调查，他们每年花在董事会上的时间只有120~150小时，“每年8~10次董事会，每次董事会一天时间”，由于董事会工作压力越来越大，最新调查显示他们的工作时间会有200小时。
　　如果假设一周工作60个小时（这是对繁忙的高级管理人员时间的合理假设），这每年200个小时相当于工作3周的时间。“这些董事是否能以每年3周的时间‘监督’一个控制拥有上亿资产并在全球拥有成千上万名雇员的企业的管理层？”
　　流程再造
　　“如果问问世界任何一地的企业管理人员，董事们是否在严肃对待工作，大部分会说‘是’的，但要问他们是否对业务和管理者素质有足够的了解，回答却往往是‘不'。”Colin B.Carter 对本报记者说。
　　真正能改善公司董事会表现的唯一途径是根本性地从起点重新设计董事会，Colin B.Carter如此认为，一个切实可行的董事会设计框架明确将董事会的设计与其希望扮演的角色和该企业独特的竞争态势及业绩情况相结合。
　　Colin B.Carter 认为董事会设计的四大关键元素：第一、明晰的角色。作为董事会的设计者，你需要思考如何确定一种与董事会所监督企业的自身情况相匹配的角色，同时又是符合各位董事的技能和时间的角色？企业对董事会的期望和需要有哪些？为了履行义务，哪种工作或工作组合是董事会应该进行的监督、建议或决策？正确恰当地履行职责会遇到哪些障碍？需要哪些资源？
　　第二件要做的是寻找出类拔萃的董事。你要思考如何寻求、提名，并发展一批具备合适的经验与技能的董事？谁应该坐在董事的位置上？他们是如何被选出的？如何发展或罢免董事？每一位董事必须具备的品质有哪些？如何确定任期限制？“很多董事会都比较保守，对那些被明确认为是不称职的董事往往不会采取果断的措施。”Colin B.Carter 如此认为。
　　第三要增进了解的流程。如何重新塑造流程来有效地改变董事会的行为、使董事更好地掌握信息并改善决策？董事会应如何增加对其企业的了解？如何通过对董事会会议内容和形式的调整来保证董事的时间得到更好地利用？董事应如何分工来更高效地完成任务？对企业及其CEO绩效的有效监管需要注意哪些事务？
　　最后还要考虑如何建立一种高度透明和公开讨论的文化，如何确保会议桌前的行为是富有建设意义的而不是起破坏作用的，如何既尊重保密性，又可以协调好各方的利益冲突。
　　作为中国企业，瑞豪还特别建议：还要特别关注海外独立董事可能带来的文化和沟通的挑战，这将影响到董事会的效率；同时要帮助独立董事建立起对公司相关业务的深厚知识，以帮助他们更好地履行监督的职责；加强董事会和管理层之间的沟通，以明确董事会和管理层的职责分工；仔细研究董事会的组成，以保证董事会拥有与公司业务模式和战略相关的技能。
　　最后，也是对中国企业最重要的一点：不要让这一切流于形式。"
