O1,O1_times,P1,P1_times,R3,R3_times,F7,F7_times,G8,G8_times,C8,C8_times
数学,56,火星,73,蛋白,57,发展,85,体育,227,统计,137
矩阵,25,光谱,53,检测,53,养老,67,发展,103,工作,59
算子,24,太阳,32,细胞,51,人才培养,42,乡村,64,发展,56
学习,21,观测,30,抗体,48,电商,40,干预,45,数据,37
高职,21,数据,28,制备,43,数字,38,融合,37,能力,29
实践,20,黑洞,25,生物,40,能力,34,课程,36,调查,27
空间,19,天文,25,表达,40,经济,33,运动,35,统计法,27
教育,19,科学,22,结构,36,服务,31,路径,34,建设,26
建模,18,过程,21,小鼠,32,跨境,31,传播,33,指数,26
课程,18,地质,21,目的,28,课程,30,旅游,32,统计学,25
混合式,18,单元,21,临床,27,建设,30,振兴,31,社会,24
方程,18,物质,20,工程,25,商务,29,健康,31,总体,24
不等式,16,表面,19,支架,25,模式,29,冰雪,29,高质量,23
课堂,15,测量,19,培养,24,国际,28,文化,29,现代化,22
控制,14,撞击,18,验证,24,制造业,27,传统,29,样本,21
培养,14,系统,17,构建,23,智慧,27,服务,26,教育,20
给出,13,发展,17,相关,23,农产品,25,理论,24,基础,19
证明,13,特征,16,免疫,23,创新,23,困境,24,治理,19
指数,13,望远镜,16,凝胶,23,实践,21,建设,23,实践,17
线性,13,变化,16,病毒,23,产业,21,赋能,23,创新,17
函数,12,星系,16,抗原,22,创业,21,数字,23,系统,17
发展,12,参数,15,特异性,22,目标,20,思政,22,测度,17
高等数学,12,探测,15,重组,22,电子商务,20,女性,22,城乡,16
评价,12,天线,15,组织,22,背景,19,提供,21,经济,15
指标,12,优化,15,活性,22,构建,19,健身,21,基层,15
工作,12,温度,15,提供,21,路径,19,经济,20,水平,15
理论,11,结构,14,推拿,21,服务业,18,教育,20,差距,15
能力,11,发现,14,专业,20,提供,18,高校,19,课程,15
学科,11,历法,14,克隆,20,培养,18,技术,19,法治,15
模糊,11,提供,13,疾病,20,出口,18,供给,18,特征,14
技术,11,射电,13,实验,19,直播,18,模式,18,抽样,14
总双,11,活动,13,血清,19,康养,18,消费,18,专业,14
罗马,11,分布,12,疫苗,17,企业,16,优化,17,提供,13
媒体,11,对称,12,机制,16,优化,16,治理,17,质量,13
半群,10,反射体,12,技术,16,学习,16,糖尿病,17,习近平,13
构造,10,结果表明,11,纯化,16,思政,16,时代,17,国家,12
稳定性,10,增加,11,因子,16,旅游,16,政策,17,时代,11
综合,10,平原,11,药物,16,推动,15,创新,17,乡村,11
