k,info_list,t,purity,f_list,ari_list
10,0.066765233,2.576001167,0.8,0.657242865,0.58921701
30,0.163549351,4.347993135,0.82,0.691889743,0.629614534
50,0.248179857,7.5279603,0.76,0.619938527,0.543857447
70,0.326798841,9.668027401,0.75,0.603003569,0.524256609
90,0.401325827,10.45999289,0.783333333,0.635309973,0.563022732
110,0.472546683,13.09599328,0.813333333,0.67859064,0.614721051
130,0.54098867,13.63195586,0.753333333,0.595995928,0.516586073
150,0.606801321,14.96799803,0.726666667,0.562790384,0.476053146
170,0.669952272,18.12395382,0.756666667,0.601813016,0.523250012
190,0.730313976,19.27598214,0.71,0.539884785,0.449299861
210,0.787769724,20.58798766,0.733333333,0.579437999,0.495608906
230,0.842175869,24.54374671,0.63,0.473007368,0.367807956
250,0.89337333,25.63201594,0.733333333,0.571041215,0.486610598
270,0.940604426,28.92798162,0.713333333,0.538033898,0.447121206
290,0.982779833,33.74397659,0.62,0.439502855,0.328008437
