k,info_list,rsvd_t,gmm_t,purity,f_list,ari_list
10,0.06676523323505766,0.05748581886291504,11.412707567214966,0.69,0.5520492833794317,0.4561566059388311
30,0.16354935142764193,0.20084023475646973,3.963449239730835,0.6966666666666667,0.5560075283832189,0.4575532793463411
50,0.24817985743078874,0.19977927207946777,2.6753902435302734,0.67,0.49275362318840576,0.3824940501497108
70,0.3267988409416519,0.29639744758605957,2.92699933052063,0.59,0.47714498544050926,0.37410880997444196
90,0.40132582683694096,0.22048425674438477,3.1962437629699707,0.64,0.5222476139266031,0.42726511798873446
110,0.47254668269032,0.267103910446167,4.4298906326293945,0.65,0.5049371026646828,0.40722901747047763
130,0.5409886699418476,0.2702364921569824,14.311105251312256,0.62,0.4683005874012558,0.36315203130058576
150,0.60680132144536,0.32480621337890625,8.02541470527649,0.6233333333333333,0.4806356837606838,0.3765884031957316
170,0.6699522723082526,0.36487340927124023,13.370902061462402,0.6166666666666667,0.4626965094590994,0.35475659975942503
190,0.7303139758796378,0.43053650856018066,16.799357414245605,0.5866666666666667,0.4425440940673437,0.33093475017082935
210,0.7877697237461267,0.41966915130615234,10.156719207763672,0.55,0.3743315508021391,0.24914280195103106
230,0.8421758687328623,0.6622598171234131,13.237663984298706,0.57,0.43957082124299884,0.3286700790149771
250,0.8933733303221288,0.5032548904418945,12.887366771697998,0.5866666666666667,0.4435598137777478,0.33343091880915443
270,0.9406044262370021,0.5352973937988281,24.140076637268066,0.6333333333333333,0.48579372075676414,0.3846248840056595
290,0.9827798325835213,0.552452802658081,57.077641010284424,0.46,0.3420892700384901,0.2120019724586134
