k,info_list,svd_t,gmm_t,purity,f_list,ari_list
10,0.06676523323505766,6.564,7.239014387130737,0.65,0.5420571765399352,0.43758306065107205
30,0.16354935142764193,6.564,2.573477268218994,0.6733333333333333,0.508461323652611,0.3907445930443218
50,0.24817985743078874,6.564,2.6214396953582764,0.63,0.46203479663555713,0.33668546808012245
70,0.3267988409416519,6.564,2.7566068172454834,0.7933333333333333,0.6505910800644815,0.5810700745639126
90,0.40132582683694096,6.564,3.329472541809082,0.7566666666666667,0.6068427774416886,0.5286848918645267
110,0.47254668269032,6.564,13.213038444519043,0.7033333333333334,0.5310200499561196,0.43826008129890015
130,0.5409886699418476,6.564,6.08606481552124,0.6433333333333333,0.47701343414568287,0.37357144808155746
150,0.60680132144536,6.564,9.481359004974365,0.6,0.44321218599679313,0.33173660210015476
170,0.6699522723082526,6.564,23.784011363983154,0.7133333333333334,0.5599732262382865,0.47206572769953054
190,0.7303139758796378,6.564,15.8105788230896,0.4766666666666667,0.33848229342327146,0.2075151515151515
210,0.7877697237461267,6.564,38.80392909049988,0.6166666666666667,0.4844796104686549,0.3827257888788776
230,0.8421758687328623,6.564,22.857315063476562,0.6266666666666667,0.4928826823180193,0.3924996547038792
250,0.8933733303221288,6.564,22.53685998916626,0.64,0.5048452220726782,0.40654247456273807
270,0.9406044262370021,6.564,44.99108409881592,0.6133333333333333,0.4666486632460168,0.36116502123590133
290,0.9827798325835213,6.564,25.10832405090332,0.46,0.334075423328611,0.20225676354689257
