k,info_list,svd_t,kmeans_t,purity,f_list,ari_list
10,0.06676523323505766,6.564,3.5676159858703613,0.8,0.6572428648357567,0.5892170099148598
30,0.16354935142764193,6.564,3.9941446781158447,0.8233333333333334,0.6976190476190477,0.6363726319485452
50,0.24817985743078874,6.564,6.173907279968262,0.72,0.5776825758082871,0.49331957038322727
70,0.3267988409416519,6.564,8.008873701095581,0.76,0.6199555345954323,0.5446069017207728
90,0.40132582683694096,6.564,9.913094997406006,0.81,0.6697192108275538,0.6041953920154932
110,0.47254668269032,6.564,11.847066164016724,0.7133333333333334,0.5834113712374581,0.5001216025770082
130,0.5409886699418476,6.564,13.765221118927002,0.6966666666666667,0.5594565509819747,0.47194054737314384
150,0.60680132144536,6.564,15.924895524978638,0.7,0.5305846569787092,0.43787179268535326
170,0.6699522723082526,6.564,24.120432138442993,0.75,0.5908876139048262,0.5099560181335626
190,0.7303139758796378,6.564,26.740120887756348,0.6733333333333333,0.5383048084759576,0.44763608259525456
210,0.7877697237461267,6.564,23.34399437904358,0.6966666666666667,0.5236068895643364,0.4294407220574091
230,0.8421758687328623,6.564,22.617148876190186,0.7266666666666667,0.5642382309048977,0.47853773725770626
250,0.8933733303221288,6.564,28.399606466293335,0.6633333333333333,0.5037278026297953,0.4060323604787384
270,0.9406044262370021,6.564,29.352425575256348,0.6833333333333333,0.5057018734727124,0.4085676443297065
290,0.9827798325835213,6.564,31.942896366119385,0.6666666666666666,0.4789898852759487,0.37661477913230657
