k,pca_info_list,time,purity,f_list,ari_list
10,0.1107,3.9856,0.8167,0.6782,0.6132
30,0.2361,7.462,0.8033,0.6572,0.588
50,0.334,11.7459,0.7933,0.6503,0.581
70,0.4195,17.3202,0.8167,0.6779,0.6141
90,0.4967,17.6287,0.77,0.6224,0.5473
110,0.5688,24.2505,0.76,0.6026,0.524
130,0.6347,30.0867,0.75,0.5965,0.5169
150,0.696,36.0081,0.7933,0.6491,0.5801
170,0.7529,36.4488,0.7033,0.5393,0.4486
190,0.8054,23.3438,0.6867,0.5361,0.444
210,0.8528,21.6103,0.6633,0.5056,0.4083
230,0.8961,23.6162,0.7067,0.5405,0.4502
250,0.9366,25.8001,0.6133,0.4601,0.3536
270,0.9678,29.235,0.67,0.4871,0.3862
290,0.9926,32.4388,0.6433,0.4816,0.3796
