k,info_list,time,purity,f_list,ari_list
10,0.0668,2.8546,0.74,0.5847,0.5016
30,0.1635,4.6058,0.81,0.6778,0.6124
50,0.2482,6.3105,0.8267,0.6932,0.6318
70,0.3268,8.2472,0.78,0.6351,0.5624
90,0.4013,11.8845,0.81,0.6724,0.6076
110,0.4725,13.2875,0.8,0.6529,0.5838
130,0.541,22.0927,0.6933,0.5747,0.4899
150,0.6068,17.6054,0.7267,0.5577,0.4691
170,0.67,16.9984,0.7467,0.5876,0.5061
190,0.7303,19.3731,0.7567,0.5932,0.5132
210,0.7878,21.5047,0.74,0.5821,0.4989
230,0.8422,24.0653,0.66,0.5028,0.4033
250,0.8934,34.8272,0.6467,0.5047,0.4065
270,0.9406,28.8732,0.6133,0.4986,0.3986
290,0.9828,32.4552,0.6633,0.5262,0.4318
