k,info_list,time,purity,f_list,ari_list
10,0.0668,10.1316,0.8,0.6572,0.5892
30,0.1635,10.5581,0.8233,0.6976,0.6364
50,0.2482,12.7379,0.72,0.5777,0.4933
70,0.3268,14.5729,0.76,0.62,0.5446
90,0.4013,16.4771,0.81,0.6697,0.6042
110,0.4725,18.4111,0.7133,0.5834,0.5001
130,0.541,20.3292,0.6967,0.5595,0.4719
150,0.6068,22.4889,0.7,0.5306,0.4379
170,0.67,30.6844,0.75,0.5909,0.51
190,0.7303,33.3041,0.6733,0.5383,0.4476
210,0.7878,29.908,0.6967,0.5236,0.4294
230,0.8422,29.1811,0.7267,0.5642,0.4785
250,0.8934,34.9636,0.6633,0.5037,0.406
270,0.9406,35.9164,0.6833,0.5057,0.4086
290,0.9828,38.5069,0.6667,0.479,0.3766
