k,pca_info_list,time,purity,f_list,ari_list
10,0.1491,1.6458,0.5867,0.4502,0.3348
30,0.307,3.6578,0.5967,0.4624,0.3489
50,0.4266,5.8782,0.6933,0.5241,0.4286
70,0.5259,7.324,0.61,0.4746,0.3704
90,0.61,8.2956,0.6167,0.4653,0.3588
110,0.6829,10.1764,0.6467,0.4759,0.3726
130,0.7466,11.6233,0.6167,0.4375,0.3243
150,0.8014,12.857,0.61,0.4421,0.3318
170,0.8485,14.2998,0.6233,0.4863,0.3837
190,0.8884,16.276,0.6533,0.4753,0.3719
210,0.9215,17.7954,0.64,0.4821,0.3793
230,0.9484,19.2981,0.6267,0.46,0.3521
250,0.97,21.2689,0.61,0.4451,0.3346
270,0.986,22.6553,0.57,0.4157,0.3001
290,0.9969,24.8548,0.5667,0.3933,0.2739
