k,info_list,time,purity,f_list,ari_list
10,0.0795,2.631,0.5767,0.4345,0.3107
30,0.1928,2.051,0.54,0.4265,0.2977
50,0.2904,1.9769,0.5833,0.4554,0.3327
70,0.3789,2.5035,0.6233,0.4552,0.3454
90,0.4602,3.0241,0.5333,0.392,0.2721
110,0.5357,3.3851,0.4867,0.3697,0.2418
130,0.606,3.8851,0.5667,0.42,0.3037
150,0.6711,5.2167,0.5533,0.4037,0.2834
170,0.7312,8.436,0.6133,0.4423,0.3325
190,0.7868,14.8863,0.6433,0.485,0.382
210,0.8374,23.8429,0.68,0.52,0.4245
230,0.8829,9.8079,0.5567,0.4248,0.3101
250,0.9234,16.9582,0.54,0.4049,0.2865
270,0.9588,13.5251,0.6267,0.4755,0.3704
290,0.9883,18.1492,0.58,0.4106,0.293
