k,info_list,time,purity,f_list,ari_list
10,0.0795,1.724,0.5967,0.4494,0.3362
30,0.1928,4.8253,0.6333,0.478,0.3727
50,0.2904,7.049,0.5767,0.4508,0.3389
70,0.3789,7.9748,0.5867,0.4597,0.3531
90,0.4602,10.025,0.5833,0.4402,0.3296
110,0.5357,14.4893,0.6167,0.4544,0.3455
130,0.606,16.8861,0.62,0.4592,0.3528
150,0.6711,14.8533,0.59,0.4393,0.328
170,0.7312,18.2037,0.5767,0.4208,0.3056
190,0.7868,18.7678,0.5567,0.4159,0.2984
210,0.8374,21.7125,0.5433,0.3903,0.2688
230,0.8829,24.9888,0.6433,0.4586,0.3508
250,0.9234,26.7779,0.64,0.4818,0.3794
270,0.9588,29.4723,0.6167,0.4599,0.3525
290,0.9883,27.1275,0.58,0.4337,0.3195
