k,info_list,time,purity,f_list,ari_list
10,0.0795,44.0088,0.6133,0.479,0.3666
30,0.1928,9.8708,0.62,0.4598,0.3446
50,0.2904,17.7607,0.5167,0.3795,0.246
70,0.3789,38.0907,0.5133,0.3806,0.2574
90,0.4602,50.2643,0.4967,0.3534,0.225
110,0.5357,32.7224,0.5333,0.3888,0.2674
130,0.606,70.0649,0.48,0.3456,0.2148
150,0.6711,64.4958,0.61,0.453,0.3428
170,0.7312,81.8641,0.57,0.4246,0.3099
190,0.7868,88.9953,0.5667,0.4371,0.3251
210,0.8374,153.1633,0.5567,0.4249,0.3113
230,0.8829,87.0452,0.5433,0.4169,0.2993
250,0.9234,130.0109,0.5467,0.4237,0.3101
270,0.9588,207.4657,0.5533,0.4174,0.3021
290,0.9883,172.9341,0.5433,0.4032,0.2849
