k,info_list,time,purity,f_list,ari_list
10,0.0795,1.8439,0.6167,0.4746,0.362
30,0.1928,4.1958,0.6633,0.536,0.4406
50,0.2904,5.8784,0.6033,0.4521,0.3428
70,0.3789,7.4053,0.6367,0.4962,0.394
90,0.4602,9.6881,0.6367,0.5022,0.4031
110,0.5357,10.7158,0.62,0.45,0.3398
130,0.606,16.3598,0.6467,0.4592,0.3519
150,0.6711,19.7431,0.6067,0.4671,0.3606
170,0.7312,19.3864,0.6767,0.5067,0.4086
190,0.7868,19.2615,0.65,0.4746,0.3701
210,0.8374,21.4079,0.5233,0.3962,0.2722
230,0.8829,26.9643,0.5967,0.4382,0.3261
250,0.9234,28.4177,0.6467,0.4649,0.3595
270,0.9588,40.4788,0.61,0.438,0.3253
290,0.9883,34.4037,0.5933,0.4261,0.3116
